Company                	                        Skills	                                                                                More Info
PROGRESS SOFTWARE	data validation   ,   t sql   ,   qa processes   ,   test planning   ,   business understanding   ,  test cases  ,  healthcare  ,  functional testing  ,  software development life cycle  ,  pl  /  sql  ,  sql queries  ,  test scenarios  ,  qa engineer  ,  data integrity  ,  bug tracking  ,  agile	https://www.timesjobs.com/job-detail/senior-data-warehouse-qa-engineer-maternity-cover-progress-software-2-to-5-yrs-jobid-C5wz56Q6__PLUS__WxzpSvf__PLUS__uAgZw==&source=srp
PROGRESS SOFTWARE	data validation   ,   t sql   ,   regression testing   ,   test planning   ,   business processes   ,  test cases  ,  healthcare  ,  qa  ,  functional testing  ,  software development life cycle  ,  pl  /  sql  ,  sql queries  ,  test scenarios  ,  qa engineer  ,  data integrity  ,  bug tracking  ,  agile	https://www.timesjobs.com/job-detail/data-warehouse-qa-engineer-senior-maternity-cover-progress-software-2-to-3-yrs-jobid-__SLASH__h7nWA9pDNdzpSvf__PLUS__uAgZw==&source=srp
Nutanix	**   automation testing    ,   python programming    ,   test planning    ,   networking concepts    ,   virtualization technologies  **  ,  c    ,  test automation  ,  tcpdump  ,  qa  ,  usability  ,  java  ,  writing  ,  perl  ,  system testing  ,  ixia	https://www.timesjobs.com/job-detail/member-of-technical-staff-automation-testing-with-python-nutanix-bengaluru-bangalore-8-to-10-yrs-jobid-Z1g__PLUS__C1JO9pJzpSvf__PLUS__uAgZw==&source=srp
Nutanix	python  ,   api  ,   selenium  ,   test automation  ,   quality assurance    ,  continuous integration  ,  performance testing  ,  defect tracking  ,  test cases  ,  jmeter  ,  qa  ,  java  ,  testing tools  ,  writing  ,  debugging  ,  oracle  ,  access management  ,  integration testing  ,  sdet  ,  gateway	https://www.timesjobs.com/job-detail/sdet-automation-2-5-5-years-python-api-selenium-nutanix-bengaluru-bangalore-2-to-5-yrs-jobid-IYZwgjV__PLUS__KqBzpSvf__PLUS__uAgZw==&source=srp
Nutanix	software engineering   ,   people management   ,   technical roadmap   ,   big data technologies   ,   release management   ,  program management  ,  java  ,  python  ,  director  ,  scala  ,  infrastructure	https://www.timesjobs.com/job-detail/senior-manager-engineering-nutanix-pune-4-to-15-yrs-jobid-nXcTrXxy5s9zpSvf__PLUS__uAgZw==&source=srp
Nutanix	microservices  ,   kubernetes   ,   cloud saas  ,   cloud native   ,   sql  ,   nosql databases   ,   linux systems  ,   storage   ,   java  ,   python  ,   golang   ,  soa  ,  mysql  ,  windows communication foundation  ,  java web services  ,  hci  ,  security  ,  postgresql  ,  mongodb  ,  rest  ,  san	https://www.timesjobs.com/job-detail/member-of-technical-staff-4-nutanix-bengaluru-bangalore-8-to-12-yrs-jobid-7Y2ljhl__PLUS__JiFzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	microsoft azure   ,   sccm   ,   solarwinds   ,   network monitoring   ,   endpoint management   ,  networking  ,  system administrator  ,  windows server  ,  hardware  ,  issue  ,  windows os  ,  l1  ,  configuration  ,  installation  ,  software deployment  ,  system configuration  ,  infrastructure  ,  computer hardware	https://www.timesjobs.com/job-detail/cloud-infra-specialist-ntt-data-vertex-software-inc-mexico-8-to-10-yrs-jobid-w0cMZdTbY11zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	sql server administration   ,   database performance tuning   ,   high availability deployment   ,   troubleshooting  &  issue resolution   ,   backup  &  recovery management   ,  disaster recovery  ,  security  ,  mirroring  ,  dba  ,  database administration  ,  database servers	https://www.timesjobs.com/job-detail/database-administration-specialist-ntt-data-vertex-software-inc-bengaluru-bangalore-4-to-8-yrs-jobid-nRpg__PLUS__hSj27VzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	test management   ,   risk management   ,   progress tracking   ,   stakeholder communication   ,   integration testing   ,  regression testing  ,  test lead  ,  test data  ,  test strategy  ,  technology consulting  ,  test manager	https://www.timesjobs.com/job-detail/test-lead-ntt-data-vertex-software-inc-hyderabad-secunderabad-4-to-10-yrs-jobid-r70gHbvgKixzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	java development   ,   microservices architecture   ,   api implementation   ,   test driven development   (  tdd  )     ,   devops tools   ,  soa  ,  rest api  ,  apache  ,  technology consulting  ,  j2ee  ,  oracle  ,  mq  ,  nosql  ,  spring framework  ,  cassandra  ,  web technologies  ,  docker  ,  security  ,  database  ,  git  ,  mongodb  ,  junit  ,  svn  ,  logical thinking  ,  spring boot	https://www.timesjobs.com/job-detail/java-lead-engineer-fulltime-employment-position-ntt-data-vertex-software-inc-charlotte-8-to-10-yrs-jobid-B4kIHt__SLASH__CUkFzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	sap integration   ,   api management   ,   middleware expertise   ,   data mapping   ,   troubleshooting   ,  information technology  ,  java  ,  xml  ,  technology consulting  ,  adapters  ,  tibco  ,  javascript  ,  groovy  ,  abap  ,  soap  ,  boomi  ,  security  ,  odata  ,  json  ,  rest  ,  consultant	https://www.timesjobs.com/job-detail/enterprise-resource-planning-advisor-ntt-data-vertex-software-inc-hyderabad-secunderabad-7-to-10-yrs-jobid-OhJTeY02ZKhzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	project management   ,   mobile device management   ,   stakeholder communication   ,   budget management   ,   agile  /  scrum certified   ,  it project manager  ,  technology consulting  ,  senior project manager  ,  infrastructure	https://www.timesjobs.com/job-detail/it-project-manager-mobile-device-management-remote-ntt-data-vertex-software-inc-pittsburgh-7-to-10-yrs-jobid-zUohe1izuS9zpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	it operations management   ,   team leadership   ,   project management   ,   sla management   ,   it infrastructure   ,  information technology  ,  pmp  ,  testing tools  ,  service delivery  ,  project plan  ,  technology consulting  ,  project life cycle  ,  it services  ,  itsm  ,  csm  ,  infrastructure services  ,  network software	https://www.timesjobs.com/job-detail/it-services-operations-manager-ntt-data-vertex-software-inc-portland-6-to-10-yrs-jobid-OkUxwcXBH2tzpSvf__PLUS__uAgZw==&source=srp
NTT Data Vertex Software Inc.	project management   ,   service delivery   ,   it infrastructure   ,   customer service   ,   budget management   ,  information technology  ,  program management  ,  pmp  ,  technology consulting  ,  project life cycle  ,  infrastructure services  ,  linux  ,  program manager  ,  service delivery manager  ,  service delivery management  ,  itsm	https://www.timesjobs.com/job-detail/project-program-associate-director-ntt-data-vertex-software-inc-portland-5-to-10-yrs-jobid-6__SLASH__nOwPT6lOlzpSvf__PLUS__uAgZw==&source=srp
